STATEFP,CD,CD_ID,year,State,Region,Division,gisjn_st,st_abbr,CD_ID1,CDIDYR,asnnh_pct,badeg_pct,blknh_pct,hisp_pct,medhhinc,nonwht_pct,pov100_pct,whtnh_pct,dem_vote,repub_vote,total_vote,pct_dem,pct_gop,dist_omit,uncontest_r,uncontest_d,missing
33,2,G3302,1990,New Hampshire,Northeast Region,New England Division,G33,NH,NH-02,NH-02-1990,0.488247351,22.38261747,0.193642842,0.549701196,56925.3461,1.481469469,7.252452153,98.51853053,157328,91126,255088,61.67597065,35.72335821,1,0,0,0
34,1,G3401,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-01,NJ-01-1990,0.835709716,13.91262193,4.558768507,1.652678729,65325.0149,8.777079226,4.96805865,91.22292077,153525,65123,228072,67.31426918,28.55370234,0,0,0,0
34,2,G3402,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-02,NJ-02-1990,0.647937436,13.25920418,7.297350492,3.19845282,59758.7836,14.17615635,7.45982168,85.82384365,132465,98315,237027,55.8860383,41.47839698,0,0,0,0
34,3,G3403,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-03,NJ-03-1990,1.341253114,18.39961667,2.229990357,2.084456424,72907.747,6.344993969,4.11686587,93.65500603,94012,151368,255798,36.75243747,59.17481763,0,0,0,0
34,4,G3404,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-04,NJ-04-1990,1.013386713,17.92873051,3.654143078,2.994865944,73905.117,9.948816379,3.841953738,90.05118362,84514,149095,241225,35.03534045,61.80744119,0,0,0,0
34,5,G3405,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-05,NJ-05-1990,2.065848935,26.85762904,0.713976633,2.43902439,92565.003,6.282145481,3.064999119,93.71785452,67579,196198,274371,24.63051853,71.50828623,0,0,0,0
34,6,G3406,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-06,NJ-06-1990,2.768788206,24.7723133,3.027423296,4.009229882,83148.0168,13.14113902,3.322987037,86.85886098,118266,100949,226093,52.30856329,44.64932572,0,0,0,0
34,7,G3407,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-07,NJ-07-1990,3.071600477,31.42248236,2.421508304,3.135914035,93274.0424,10.37619497,2.543431966,89.62380503,105761,132174,248082,42.63146863,53.27835151,0,0,0,0
34,8,G3408,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-08,NJ-08-1990,2.75787933,20.0372091,4.371691429,5.354296083,68719.6997,18.42666314,6.078061277,81.57333686,96742,84674,205828,47.00137979,41.13823192,0,0,0,0
34,9,G3409,1990,New Jersey,Northeast Region,Middle Atlantic Division,G34,NJ,NJ-09,NJ-09-1990,4.651178886,19.49765907,1.730835906,10.70424587,67113.934,23.73004423,6.012220215,76.26995577,139188,88179,238704,58.30987332,36.94072994,0,0,0,0
