cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop
G2601,1990,144857,117056,268619,53.92656514,43.57696217
G2602,1990,86265,155577,246761,34.95892787,63.04764529
G2603,1990,95927,162451,264948,36.20597249,61.31429564
G2604,1990,87573,157337,251539,34.8148796,62.54974378
G2605,1990,147618,93098,244992,60.25421238,38.0004245
G2606,1990,89020,144083,233112,38.18765229,61.80848691
G2607,1990,0,133972,152868,0,87.63900882
G2608,1990,135517,131906,284707,47.59875943,46.33043796
G2609,1990,133956,111798,249530,53.68332465,44.80343045
G2610,1990,138193,114918,260213,53.10764643,44.16305104
G2611,1990,117725,168940,293098,40.16574661,57.63942436
G2612,1990,137514,119357,261349,52.61699873,45.66958358
G2613,1990,127642,105169,245888,51.91062598,42.77109904
G2614,1990,165496,32036,200879,82.38591391,15.94790894
G2615,1990,148908,31849,184694,80.62416754,17.24419851
G2616,1990,156964,75694,240936,65.14759106,31.41664176
G2701,1990,206369,72367,279430,73.85355903,25.89807823
G2702,1990,132156,131587,276403,47.81279509,47.60693625
G2703,1990,104606,200240,314731,33.236637,63.62258564
G2704,1990,159796,101744,277956,57.48967462,36.60435465
G2705,1990,174139,77093,277094,62.84473861,27.82196655
G2706,1990,100016,133564,301023,33.22536816,44.37003153
G2707,1990,133886,130396,265524,50.4233139,49.10893177
G2708,1990,167104,83823,283031,59.04088245,29.61619045
G2801,1990,121664,82952,204616,59.4596708,40.5403292
G2802,1990,133361,41248,174609,76.37693361,23.62306639
G2803,1990,162864,37710,200574,81.19895899,18.80104101
G2804,1990,130927,43705,194544,67.29942841,22.46535488
G2805,1990,120766,67619,191058,63.20907787,35.39187053
G2901,1990,158693,74482,233175,68.05746757,31.94253243
G2902,1990,148729,157594,312442,47.60211495,50.43944156
G2903,1990,174000,90006,271834,64.00965295,33.11064841
G2904,1990,176977,74475,251452,70.38202122,29.61797878
G2905,1990,151014,93562,255312,59.14880617,36.64614276
G2906,1990,148887,119637,268524,55.44644054,44.55355946
G2907,1990,99762,160303,260065,38.3604099,61.6395901
G2908,1990,86730,147398,234418,36.9980121,62.87827727
G2909,1990,124694,118811,261335,47.71423652,45.46310291
