GEOID,totpop_race,wht_pop,blk_pop,amin_pop,asn_pop,hisp_pop,hpi_pop,oth_pop,two_pop,thr_pop,totpop_ed,LessHS,HSGrad,SomeCol,BADeg,GradDeg,totpop_pov,pov_pop,allcit_pop,nat_pop,fbnat_pop,fb_pop,nat_ins,fbnat_ins,fb_ins,wht_pop_pct,blk_pop_pct,amin_pop_pct,asn_pop_pct,hisp_pop_pct,hpi_pop_pct,oth_pop_pct,two_pop_pct,thr_pop_pct,LessHS_pct,HSGrad_pct,SomeCol_pct,BADeg_pct,GradDeg_pct,pov_pop_pct,nat_pct,fbnat_pct,fb_pct,nat_ins_pct,fbnat_ins_pct,fb_ins_pct
06079,282165,194375,4909,1510,9969,63534,265,400,7411,6995,188857,16514,37609,33234,41436,25376,266098,33261,275626,247903,14135,13588,236211,13407,9335,68.88699874187088,1.7397621958782983,0.5351478744706112,3.5330391792036573,22.51661262027537,0.09391667995676288,0.14176102634983076,2.6264774156964896,2.479045948292666,8.7441821060379,19.91400901210969,17.59744145040957,21.940409939795718,13.43662135901767,12.499530248254402,89.94180519979973,4.929868735170122,4.929868735170122,95.28363916531869,94.84966395472232,68.70032381513099
06081,767423,301123,16718,1158,217287,187248,10092,3012,32689,28881,551290,57386,81909,63824,159607,121442,761226,51085,763665,497295,153276,113094,483876,149048,98853,39.2382037025213,2.178459597901027,0.1508946174404468,28.313850379777517,24.39958145638064,1.3150505001804742,0.3924823728243746,4.259580439992025,3.763374305956428,10.409403399299824,14.857697400642131,11.577209816974731,28.951550000906963,22.028696330425003,6.710884809504668,65.1195223036279,14.809373219932823,14.809373219932823,97.30160166500768,97.24157728541977,87.40782004350363
06083,444829,197993,8409,1601,23882,201837,387,603,10438,9796,275092,52419,49006,37430,55474,38499,425052,57556,437669,336232,34810,66627,320051,32622,41118,44.50991279795157,1.8903893406230259,0.3599135847707771,5.368804641783697,45.37406509018072,0.08699972348925093,0.13555770869255376,2.3465196738521996,2.202194551164605,19.055079755136465,17.814403908510606,13.606357145972984,20.165617320750876,13.994954415250172,13.54093146250341,76.82335280771542,15.223148086796186,15.223148086796186,95.18754907325894,93.7144498707268,61.713719663199605
06085,1927470,607903,45259,3366,699290,490978,6229,5505,72626,65254,1334958,155203,188180,142420,369625,329895,1896320,142534,1917643,1165149,400677,351817,1130304,389420,315515,31.53890851738289,2.348103991242406,0.17463306821896063,36.28020150767586,25.472666241238517,0.32316975102076817,0.2856075580942894,3.7679445075669142,3.385474222685697,11.626058647537976,14.096323629657261,10.668500432223336,27.68813700505934,24.712013411657896,7.516347451906852,60.75943228223397,18.34632410725041,18.34632410725041,97.00939536488467,97.19050507016874,89.68156740578198
06087,273962,156897,2491,401,12504,91980,198,601,9120,8660,180000,24593,27933,26321,42819,30692,262224,34419,272491,224004,19559,28928,215842,18558,24102,57.26962133434564,0.9092501879822749,0.14637066454471787,4.564136632087662,33.57399931377344,0.07227279695724224,0.21937348975405346,3.3289288295457036,3.1610223315642316,13.662777777777777,15.518333333333334,14.62277777777778,23.788333333333334,17.051111111111112,13.125800842028191,82.20601781343237,10.61613044100539,10.61613044100539,96.3563150658024,94.88215143923513,83.31720132743364
06089,179212,143013,2030,3912,5745,17975,244,178,6296,5934,126524,11275,32118,27681,18727,9317,176274,29423,177761,167975,5054,4732,157722,4661,3832,79.80101778898735,1.1327366470995246,2.1828895386469656,3.205700511126487,10.030020311139879,0.1361515969912729,0.09932370600183023,3.513157601053501,3.311162198959891,8.911352786823052,25.384907211280073,21.878062660048688,14.801144446903356,7.363820302867439,16.69162780671001,94.49485545198328,2.662001226365738,2.662001226365738,93.89611549337698,92.22398100514444,80.98055790363483
06091,3040,2662,2,29,0,324,0,0,23,23,2420,185,766,364,205,229,3013,291,3013,2945,16,52,2682,16,51,87.5657894736842,0.06578947368421052,0.9539473684210527,0,10.657894736842104,0,0,0.756578947368421,0.756578947368421,7.644628099173553,31.65289256198347,15.041322314049587,8.47107438016529,9.462809917355372,9.65814802522403,97.7431131762363,1.72585462993694,1.72585462993694,91.06960950764007,100,98.07692307692307
06093,43468,33081,684,1389,696,5467,124,51,2002,1950,31682,3095,8074,6440,4859,2484,43074,8102,43356,41017,1417,922,38826,1265,699,76.10426060550289,1.5735713628416308,3.1954541271740133,1.601177877979203,12.577068188092388,0.2852673230882488,0.11732768933468299,4.60568694211834,4.486058709855526,9.768953980178019,25.484502241020135,20.326999558108703,15.336784293920838,7.840414115270502,18.809490644007987,94.6051296245041,2.126579942799151,2.126579942799151,94.65831240705074,89.27311220889203,75.81344902386117
06095,441829,168060,59652,1254,66247,116869,3911,1635,24996,23406,303699,35139,72340,55351,56528,25208,430780,41121,429483,341898,52160,35425,328755,50383,30079,38.03734023796537,13.501150897745509,0.28382021098660337,14.993809822352086,26.451183602706024,0.8851840870563047,0.3700526674346863,5.657392339570286,5.2975246079365546,11.57033773571859,23.819637206576246,18.225611543008043,18.613166325868704,8.300323675744734,9.545707785876782,79.60687617437709,8.248289222157803,8.248289222157803,96.15587104926031,96.59317484662576,84.90896259703598
06097,499772,316022,7399,2343,20082,133569,1483,2239,17142,16128,359314,40280,67371,62199,79864,47718,492490,45418,495516,413800,35882,45834,397013,33802,34517,63.23323435486582,1.4804750966440696,0.468813779083262,4.018232313935155,26.725987050094847,0.2967353113019537,0.44800428995622,3.4299640636130078,3.2270715446243483,11.210250644283274,18.749895634458998,17.310486092943776,22.226798844464728,13.280306361566762,9.222116185100205,83.50890788592093,9.249751773908411,9.249751773908411,95.94320927984533,94.20322167103284,75.30872278221408
