state_name,st_fips,cd_fips,cd_id,year,dem_vote,repub_vote,total_vote,pct_dem,pct_gop,uncontest,missing
Georgia,13,10,G1310,1990,108426,93059,201485,53.81343524,46.18656476,0,0
Georgia,13,11,G1311,1990,120168,44221,164400,73.09489051,26.89841849,0,0
Hawaii,15,1,G1501,1990,129332,41575,177476,72.87295184,23.42570263,0,0
Hawaii,15,2,G1502,1990,131454,40070,180955,72.64458014,22.14362687,0,0
Idaho,16,1,G1601,1990,140985,90983,242790,58.06870135,37.47394868,0,0
Idaho,16,2,G1602,1990,81450,139783,229957,35.41966542,60.78658184,0,0
Illinois,17,1,G1701,1990,209258,43453,252711,82.80525976,17.19474024,0,0
Illinois,17,2,G1702,1990,182614,31957,233864,78.085554,13.66477953,0,0
Illinois,17,3,G1703,1990,162165,93128,255293,63.52113062,36.47886938,0,0
Illinois,17,4,G1704,1990,90452,26154,116606,77.57062244,22.42937756,0,0
Illinois,17,5,G1705,1990,132889,90738,232083,57.25925639,39.09721953,0,0
Illinois,17,6,G1706,1990,86891,165009,251904,34.49369601,65.50471608,0,0
Illinois,17,7,G1707,1990,182811,35346,225281,81.14798851,15.68973859,0,0
Illinois,17,8,G1708,1990,96419,132887,238633,40.4047219,55.68676587,0,0
Illinois,17,9,G1709,1990,162942,64760,239703,67.97662107,27.01676658,0,0
Illinois,17,10,G1710,1990,85400,155230,240630,35.49017163,64.50982837,0,0
Illinois,17,11,G1711,1990,135387,107860,243247,55.65824039,44.34175961,0,0
Illinois,17,12,G1712,1990,168762,68115,236877,71.24456997,28.75543003,0,0
Illinois,17,13,G1713,1990,82985,179257,262255,31.64286668,68.35217632,0,0
Illinois,17,14,G1714,1990,75294,155271,230624,32.64794644,67.32647079,0,0
Illinois,17,15,G1715,1990,97190,142167,239586,40.56580935,59.3386091,0,0
Illinois,17,16,G1716,1990,113555,142388,255943,44.36730053,55.63269947,0,0
Illinois,17,17,G1717,1990,156233,103719,259952,60.1007109,39.8992891,0,0
Illinois,17,18,G1718,1990,114413,156533,270976,42.22255846,57.76637045,0,0
Illinois,17,19,G1719,1990,187156,83526,270685,69.14162218,30.85726952,0,0
