GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021,ADNEM001,ADNEM002,ADNEM003,ADNEM004,ADNEM005,ADNEM006,ADNEM007,ADNEM008
"G12010","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,"Congressional District 10 (114th Congress), Florida",744302,615203,474142,88812,1763,30317,414,5018,14737,1395,13342,129099,92675,3240,454,296,226,26037,6171,3402,2769,734939,43769,58136,35317,37279,53704,20253,486481,"Congressional District 10 (114th Congress), Florida",5233,4897,4119,2803,342,1721,231,1182,1426,468,1293,3205,3536,896,305,153,251,2828,1106,764,828,5182,2938,3866,2458,2330,3658,2003,7301
"G12011","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"11",,,,,,,,,,,"Congressional District 11 (114th Congress), Florida",716483,649349,567119,59399,1935,9357,173,1027,10339,440,9899,67134,54689,2675,435,165,55,5544,3571,1486,2085,692785,49619,63061,39281,39149,52754,23002,425919,"Congressional District 11 (114th Congress), Florida",2290,2249,2251,1329,339,482,88,353,1017,155,1016,1334,1845,690,235,99,86,1151,967,488,852,2594,2779,3198,2865,2426,2358,1907,4835
"G12012","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"12",,,,,,,,,,,"Congressional District 12 (114th Congress), Florida",718791,627810,559825,32508,1796,19144,414,1108,13015,1020,11995,90981,75743,2497,339,372,53,7175,4802,2589,2213,709327,37817,47673,33333,36954,48475,19325,485750,"Congressional District 12 (114th Congress), Florida",3203,3053,2741,1549,264,1198,158,296,1233,375,1180,1671,1970,575,121,162,56,1074,687,464,474,3204,2487,2538,2327,2551,2616,1632,4971
"G12013","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"13",,,,,,,,,,,"Congressional District 13 (114th Congress), Florida",705404,638383,555123,39967,1875,24878,539,1302,14699,758,13941,67021,55297,1270,233,132,30,6194,3865,2103,1762,694011,48088,48225,32063,36383,49272,16937,463043,"Congressional District 13 (114th Congress), Florida",2816,2789,2463,1784,259,963,161,473,1181,288,1080,1247,1970,449,162,120,47,1192,612,410,458,2925,2340,2725,1966,2730,2564,1513,4429
"G12014","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"14",,,,,,,,,,,"Congressional District 14 (114th Congress), Florida",740136,528396,304478,183628,1675,20906,476,2596,14637,1226,13411,211740,162031,9122,1651,206,131,31678,6921,3707,3214,728030,70187,90046,43214,48298,59721,23409,393155,"Congressional District 14 (114th Congress), Florida",4140,5038,3873,3044,274,1394,189,595,1341,384,1260,3373,3684,1437,564,130,174,2789,994,723,694,4375,3312,4358,2343,3148,2913,1619,5445
"G12015","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,"Congressional District 15 (114th Congress), Florida",721727,591518,451382,94690,1350,25251,331,2323,16191,804,15387,130209,96821,4212,763,210,61,22714,5428,2638,2790,707716,49262,60581,35213,39880,52357,20849,449574,"Congressional District 15 (114th Congress), Florida",4297,4664,4408,2903,287,1335,142,797,1496,315,1420,3659,3581,703,480,127,67,2397,923,562,701,4356,3344,2991,2326,2940,2976,2013,5513
"G12016","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"16",,,,,,,,,,,"Congressional District 16 (114th Congress), Florida",730336,644755,572957,48479,1236,11744,242,1180,8917,281,8636,85581,70895,1716,384,240,24,9999,2323,944,1379,720341,42716,50226,31823,33110,50168,19293,493005,"Congressional District 16 (114th Congress), Florida",835,446,674,759,229,422,92,636,956,107,932,797,1777,546,207,128,34,1371,520,336,377,1180,2298,3478,2143,2279,3269,1514,5534
"G12017","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"17",,,,,,,,,,,"Congressional District 17 (114th Congress), Florida",722477,589723,501703,64042,1610,10034,230,1398,10706,634,10072,132754,104417,2735,404,128,97,21665,3308,2014,1294,701170,51369,66832,40855,42406,60648,22615,416445,"Congressional District 17 (114th Congress), Florida",4309,3705,3018,2216,221,855,155,524,1087,255,1053,3199,2958,619,185,110,139,2338,845,678,432,4187,3053,3224,2626,3053,3422,1726,6213
"G12018","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"18",,,,,,,,,,,"Congressional District 18 (114th Congress), Florida",717984,611975,496392,88027,1117,15150,185,1072,10032,301,9731,106009,82187,1874,770,104,17,17107,3950,2242,1708,711032,41820,51997,29984,36259,49359,19182,482431,"Congressional District 18 (114th Congress), Florida",2554,2693,2533,1865,289,1120,179,352,1352,147,1321,1712,2871,434,378,62,27,2268,817,745,550,2597,2916,3174,2651,2781,3362,1790,4816
"G12019","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"19",,,,,,,,,,,"Congressional District 19 (114th Congress), Florida",738277,601936,526032,56071,1446,10275,35,796,7281,521,6760,136341,110901,2000,852,352,114,18208,3914,1986,1928,726718,50113,57081,37684,36476,49546,24180,471638,"Congressional District 19 (114th Congress), Florida",3584,2852,2456,1566,297,694,35,264,909,204,841,2363,3020,482,534,248,133,2337,987,572,851,3670,2972,3615,2963,2656,3085,2375,5522
"G12020","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,"Congressional District 20 (114th Congress), Florida",738136,588320,169653,388163,1386,14377,211,2665,11865,1383,10482,149816,120504,7539,796,199,27,15171,5580,1618,3962,720457,73165,95552,58007,54010,65253,27222,347248,"Congressional District 20 (114th Congress), Florida",4679,4425,3624,4321,264,1522,135,592,1312,491,1281,4209,3644,836,375,105,42,1720,942,428,781,4741,3940,4566,3787,3169,3371,2262,5657
"G12021","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"21",,,,,,,,,,,"Congressional District 21 (114th Congress), Florida",735036,574309,437050,93666,1080,25759,174,4320,12260,1481,10779,160727,136895,3349,360,344,30,13975,5774,2348,3426,732071,34170,44537,31493,33935,49372,21229,517335,"Congressional District 21 (114th Congress), Florida",3520,3953,3871,3213,322,1603,110,943,1042,335,971,3539,3401,662,202,145,53,1594,861,507,732,3565,2244,2759,2964,2374,3088,2185,5752
"G12022","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"22",,,,,,,,,,,"Congressional District 22 (114th Congress), Florida",722209,565388,452728,82335,748,15729,442,2225,11181,1103,10078,156821,131605,2756,739,280,14,15334,6093,2307,3786,712913,47513,57883,34162,32248,49021,16751,475335,"Congressional District 22 (114th Congress), Florida",3866,3358,3751,2552,311,1447,203,560,1177,298,1145,3418,3550,578,465,164,24,1734,897,477,790,3719,2505,3157,2154,2155,3324,1612,5297
"G12023","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"23",,,,,,,,,,,"Congressional District 23 (114th Congress), Florida",733644,447453,330099,75900,1884,25426,411,3125,10608,1091,9517,286191,233265,7008,533,478,61,35004,9842,4343,5499,728635,40249,56324,35617,32709,45741,21693,496302,"Congressional District 23 (114th Congress), Florida",2316,4360,4032,3084,490,1588,193,711,1088,284,1017,3964,4034,1304,424,172,55,2580,1078,819,762,2550,2369,3428,2434,2249,3060,2224,6029
"G12024","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"24",,,,,,,,,,,"Congressional District 24 (114th Congress), Florida",733049,496794,89402,385169,529,12599,112,2495,6488,1138,5350,236255,190650,20623,493,631,37,17498,6323,3025,3298,720671,79140,101435,51485,49660,62148,23086,353717,"Congressional District 24 (114th Congress), Florida",5240,4775,2723,4541,199,1531,122,620,1009,344,900,3881,4170,1758,276,385,46,2114,892,534,734,5217,4035,4548,3285,3655,3419,2081,6897
"G12025","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"25",,,,,,,,,,,"Congressional District 25 (114th Congress), Florida",736959,211905,146722,44259,650,14671,7,1429,4167,600,3567,525054,489396,8175,714,580,16,20707,5466,2544,2922,727589,45049,82146,45496,43856,58623,22144,430275,"Congressional District 25 (114th Congress), Florida",4648,3771,2702,2724,178,1654,13,743,1026,336,939,4502,5104,1464,390,253,23,2546,901,544,712,4852,2793,3917,3630,3095,3597,2945,6845
"G12026","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"26",,,,,,,,,,,"Congressional District 26 (114th Congress), Florida",738104,228803,142995,64834,1012,13246,310,1140,5266,477,4789,509301,485729,8558,380,271,0,9378,4985,2088,2897,725385,45004,68056,43084,38463,57374,24115,449289,"Congressional District 26 (114th Congress), Florida",4704,4119,2380,2734,344,1163,220,347,679,238,647,5177,5438,1374,307,149,31,1392,791,438,605,4621,3212,3933,3257,2906,3837,2721,6758
"G12027","2011-2015",,,"Florida","12",,,,,,,,,,,,,,,,,,,"27",,,,,,,,,,,"Congressional District 27 (114th Congress), Florida",740432,189337,125027,45947,592,11718,85,1382,4586,494,4092,551095,517241,13253,387,424,0,12191,7599,2730,4869,731249,52926,97283,50810,46681,60661,23602,399286,"Congressional District 27 (114th Congress), Florida",5848,4020,2708,3091,303,1060,89,465,771,239,725,5484,5692,1608,207,225,31,1387,1098,557,842,5848,2961,4435,2753,3162,3588,2861,5976
"G13001","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Georgia",717131,670537,430060,208887,1986,12588,854,826,15336,544,14792,46594,27096,2068,297,167,59,13472,3435,2146,1289,690858,60418,68556,36885,39152,52372,22283,411192,"Congressional District 1 (114th Congress), Georgia",976,1188,1023,1242,338,641,177,275,1216,400,1203,798,1564,434,132,127,61,1368,592,519,391,1566,3034,3350,2376,2483,3548,2204,6099
"G13002","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Georgia",692667,658458,283147,353342,1047,7596,528,1270,11528,375,11153,34209,16364,2268,83,130,187,12603,2574,1541,1033,651747,85630,94017,41086,44094,54357,21433,311130,"Congressional District 2 (114th Congress), Georgia",2047,2017,1492,1616,208,550,102,536,997,186,971,924,1285,383,65,90,224,1174,525,396,320,2479,3397,3442,2178,2490,2667,1968,4466
"G13003","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Georgia",708059,669019,473756,165885,1371,12177,116,1309,14405,381,14024,39040,26637,1904,133,75,51,7193,3047,1743,1304,694465,50200,61018,33830,35743,45067,20346,448261,"Congressional District 3 (114th Congress), Georgia",3130,2888,2222,2523,287,792,53,390,1385,177,1382,1333,1455,687,74,66,52,961,627,530,395,3168,3418,3678,2820,2664,3053,1964,5549
"G13004","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Georgia",723659,657644,186793,417769,703,36661,407,2834,12477,1126,11351,66015,34722,5388,678,17,26,22069,3115,1160,1955,715603,58534,77433,40562,39146,53601,21523,424804,"Congressional District 4 (114th Congress), Georgia",4373,4252,2846,3544,248,1869,317,807,1166,485,1050,2592,2604,830,354,22,40,2485,888,424,767,4383,4349,4774,3489,3240,3321,2423,6184
"G13005","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (114th Congress), Georgia",725618,671648,207768,419074,1394,29645,151,1486,12130,474,11656,53970,31563,4639,877,73,51,13970,2797,1619,1178,686825,85092,84645,38179,38191,50227,18326,372165,"Congressional District 5 (114th Congress), Georgia",3840,4055,3040,4178,455,1480,73,456,1089,148,1070,2604,2231,941,402,53,75,1833,526,473,382,3814,3527,4080,2867,2765,3141,2029,5712
"G13006","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (114th Congress), Georgia",724825,634552,448093,92234,2132,74450,329,2520,14794,689,14105,90273,65850,3795,1314,237,67,15395,3615,1571,2044,721998,31482,38857,20811,22195,31142,13383,564128,"Congressional District 6 (114th Congress), Georgia",3181,3444,4203,3589,424,2068,134,840,1540,312,1510,3107,3195,1083,561,203,76,1752,771,491,701,3197,2219,2761,1963,2068,2560,1649,4811
"G13007","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (114th Congress), Georgia",745461,605553,355400,138403,1531,91200,295,2380,16344,836,15508,139908,79898,3947,1455,372,8,50406,3822,2096,1726,739321,37557,50796,30326,40654,50385,18654,510949,"Congressional District 7 (114th Congress), Georgia",3561,3703,2960,3416,376,1556,127,735,1787,397,1723,3175,3287,1069,1012,271,14,3294,822,561,488,3616,3161,3825,3221,3366,3460,2039,6852
"G13008","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"08",,,,,,,,,,,"Congressional District 8 (114th Congress), Georgia",700278,656915,423398,209934,789,9981,134,1513,11166,287,10879,43363,24644,2328,213,89,30,13372,2687,1573,1114,675001,69369,80976,43522,37343,51602,19649,372540,"Congressional District 8 (114th Congress), Georgia",1182,1145,1285,1389,203,637,97,563,1006,139,990,624,1744,434,204,52,38,1701,656,452,416,1738,3002,3459,2437,2253,2950,1585,5223
"G13009","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"09",,,,,,,,,,,"Congressional District 9 (114th Congress), Georgia",708458,620749,552556,48725,1311,8501,206,1435,8015,222,7793,87709,63236,841,560,66,0,21069,1937,1148,789,694574,49613,75501,39635,40069,56858,18742,414156,"Congressional District 9 (114th Congress), Georgia",2268,1788,1734,896,257,562,145,607,722,138,709,1561,2650,299,261,80,30,2146,466,377,380,2474,2789,4366,2431,2556,2634,1804,4787
"G13010","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,"Congressional District 10 (114th Congress), Georgia",710214,670365,464937,176928,953,14985,140,770,11652,951,10701,39849,26938,1293,434,102,53,8011,3018,1586,1432,685022,67985,64871,34646,32482,48435,21551,415052,"Congressional District 10 (114th Congress), Georgia",3763,4005,2982,3151,307,741,97,245,1277,405,1127,2211,1999,387,278,104,64,1528,1264,677,1065,4051,3046,3304,2456,2550,3011,2355,5380
"G13011","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"11",,,,,,,,,,,"Congressional District 11 (114th Congress), Georgia",723473,643311,488930,114472,1469,23450,214,2111,12665,1124,11541,80162,46691,3960,682,171,15,25979,2664,1798,866,711203,34630,50631,31566,29239,40691,16287,508159,"Congressional District 11 (114th Congress), Georgia",3307,3229,3109,2636,389,1345,96,614,1273,484,1213,2350,2893,849,406,160,26,2619,708,558,331,3360,2770,3452,2809,2822,3549,2153,5585
"G13012","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"12",,,,,,,,,,,"Congressional District 12 (114th Congress), Georgia",706062,665742,396126,243696,1450,11302,530,1430,11208,326,10882,40320,22221,2446,239,355,2,12238,2819,1788,1031,671081,75836,80774,38376,39165,48136,20824,367970,"Congressional District 12 (114th Congress), Georgia",1267,1282,1321,1148,287,603,99,510,1070,153,1102,556,1414,538,203,226,8,1404,634,503,353,2110,2992,2869,2577,2370,2758,2081,5496
"G13013","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"13",,,,,,,,,,,"Congressional District 13 (114th Congress), Georgia",723108,645493,207119,403878,939,18922,29,1873,12733,560,12173,77615,44191,6770,88,45,65,24011,2445,1457,988,715872,58196,76157,38325,35327,51941,23196,432730,"Congressional District 13 (114th Congress), Georgia",4741,4565,3383,4595,382,1478,34,687,1387,247,1347,3090,3122,1142,78,59,60,2920,592,401,393,4802,4600,4078,3663,2890,3824,2974,6683
"G13014","2011-2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,,"14",,,,,,,,,,,"Congressional District 14 (114th Congress), Georgia",697680,621587,542318,61123,1269,6837,148,1274,8618,186,8432,76093,55239,760,490,254,9,16584,2757,1801,956,683576,47152,73021,40033,41484,59162,22135,400589,"Congressional District 14 (114th Congress), Georgia",586,597,762,687,320,381,115,463,819,124,836,106,1748,347,323,178,15,1768,651,436,436,995,3080,4124,3251,2846,3395,1761,5675
"G15001","2011-2015",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Hawaii",703960,645700,117472,15563,645,344134,51704,700,115482,1167,114315,58260,12886,1114,260,7362,3273,5029,28336,4584,23752,684842,31670,31596,20156,20978,33208,13959,533275,"Congressional District 1 (114th Congress), Hawaii",2915,3017,1703,1004,167,3089,2150,204,3125,275,3186,1688,841,378,116,1136,676,732,1562,886,1587,2783,2107,1696,1649,1808,2359,1689,4764
"G15002","2011-2015",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Hawaii",702339,621348,204360,11118,1472,173155,75775,871,154597,928,153669,80991,22446,893,635,5900,8149,8264,34704,3653,31051,684243,43246,47432,26788,23474,41272,19058,482973,"Congressional District 2 (114th Congress), Hawaii",2915,3017,1751,1078,243,3021,2454,350,3579,380,3635,1688,1412,291,169,961,1167,1247,1857,501,1841,2808,2538,2922,2082,2172,2438,2244,5909
"G16001","2011-2015",,,"Idaho","16",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Idaho",819605,734623,694379,3553,9125,8705,916,587,17358,428,16930,84982,65668,303,1700,626,79,12672,3934,1861,2073,800708,48375,70823,39041,46397,67917,26223,501932,"Congressional District 1 (114th Congress), Idaho",1699,2145,2299,694,674,821,317,399,1208,176,1175,1190,2292,183,592,443,100,1661,659,412,466,1923,2953,4426,2700,3571,3786,2343,5688
"G16002","2011-2015",,,"Idaho","16",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Idaho",796942,690610,648183,5793,8108,11898,832,612,15184,183,15001,106332,74684,251,1571,482,94,24500,4750,2463,2287,783702,51417,74562,46041,50454,66331,28629,466268,"Congressional District 2 (114th Congress), Idaho",1699,2119,2243,743,575,892,208,219,948,89,948,1163,2483,128,395,248,101,1751,888,564,589,1940,2333,3418,2278,2818,3315,2043,5954
"G17001","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Illinois",712393,643648,253150,364010,1180,13773,81,1059,10395,823,9572,68745,35866,1797,578,85,25,27093,3301,2167,1134,700213,66788,70167,32621,30653,42793,17439,439752,"Congressional District 1 (114th Congress), Illinois",4935,4778,2962,4475,341,1189,60,390,982,301,991,2301,2577,447,225,55,28,2342,616,485,382,5055,3120,3133,2130,2173,2700,1669,5283
"G17002","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Illinois",708498,615087,204161,394354,653,4950,21,953,9995,493,9502,93411,60492,3591,666,116,24,24812,3710,2615,1095,698354,76481,70432,36732,37576,49981,19589,407563,"Congressional District 2 (114th Congress), Illinois",3168,4329,2158,4723,196,631,27,330,1189,208,1153,2990,2778,716,254,74,27,2442,665,547,363,3155,3631,3633,2682,3049,2700,1659,4996
"G17003","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Illinois",722289,498303,428742,32459,422,28247,6,900,7527,458,7069,223986,124662,605,1826,249,34,89320,7290,5567,1723,711681,34257,50958,32170,31283,48121,19753,495139,"Congressional District 3 (114th Congress), Illinois",4686,3695,3872,1871,190,1933,11,388,879,193,874,4490,3941,205,554,138,30,3865,1057,932,466,4751,2112,3124,2478,2336,2796,2098,4517
"G17004","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Illinois",712139,207821,150133,27544,661,21677,175,862,6769,288,6481,504318,275420,3610,2477,619,111,212295,9786,6717,3069,707630,55829,98326,57468,54812,65149,25650,350396,"Congressional District 4 (114th Congress), Illinois",5671,3472,2737,1878,273,1348,91,239,742,193,721,5484,6450,540,582,246,107,5428,887,756,570,5592,2703,4270,3419,2895,2814,2372,5749
"G17005","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (114th Congress), Illinois",730336,585403,500758,18617,836,50070,62,867,14193,705,13488,144933,92928,1511,1050,447,31,42291,6675,4556,2119,720012,32630,42457,24070,24934,35399,13067,547455,"Congressional District 5 (114th Congress), Illinois",5304,4799,4300,1498,258,2195,58,282,1154,207,1140,3365,3482,436,408,164,25,3085,885,741,441,5225,1991,2602,1815,1921,2325,1332,5562
"G17006","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (114th Congress), Illinois",724337,654838,562418,18766,358,61881,88,800,10527,517,10010,69499,49760,937,701,224,32,14926,2919,1609,1310,715031,18009,23177,11787,16577,21600,10773,613108,"Congressional District 6 (114th Congress), Illinois",3516,3761,3730,1567,108,1871,65,242,1041,180,1038,2581,2120,424,376,125,40,1694,576,393,445,3567,1529,2020,1239,1717,1649,1495,4533
"G17007","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (114th Congress), Illinois",724029,623193,198559,363192,755,48175,92,1484,10936,686,10250,100836,48559,3622,468,336,109,44100,3642,2433,1209,700684,92783,87886,40574,38259,39761,14526,386895,"Congressional District 7 (114th Congress), Illinois",5725,5363,3366,4925,248,1868,86,435,1038,265,1026,3694,2630,712,177,142,105,3342,615,548,361,5909,3960,2770,2426,2407,2529,1519,5132
"G17008","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"08",,,,,,,,,,,"Congressional District 8 (114th Congress), Illinois",717333,521829,383338,32913,515,91525,503,1365,11670,1667,10003,195504,107536,1309,1705,567,110,79122,5155,3185,1970,711840,31010,41378,29808,33868,45526,18852,511398,"Congressional District 8 (114th Congress), Illinois",3346,3895,3827,2195,196,2367,229,511,1228,442,1049,3813,4318,502,555,230,84,4559,890,742,379,3357,2200,3032,2467,2569,3195,1850,5278
"G17009","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"09",,,,,,,,,,,"Congressional District 9 (114th Congress), Illinois",716040,637746,465055,61252,705,92921,152,1363,16298,1094,15204,78294,56390,1410,468,455,36,15791,3744,2082,1662,697127,37885,47490,24202,25379,33166,13913,515092,"Congressional District 9 (114th Congress), Illinois",4158,4673,4005,2742,234,2576,138,416,1341,309,1302,3274,2886,453,243,182,42,1614,588,438,441,4198,2294,2761,2244,1775,2428,1656,4893
"G17010","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,"Congressional District 10 (114th Congress), Illinois",713687,554365,423958,46438,844,69072,177,977,12899,804,12095,159322,123566,1750,541,600,18,27881,4966,2595,2371,694445,29906,41293,25736,27892,38971,16244,514403,"Congressional District 10 (114th Congress), Illinois",1969,2190,2442,1156,246,1847,105,429,1149,280,1119,2196,2911,433,268,255,29,2266,790,500,628,2034,2017,2653,2185,2138,2747,1864,4471
"G17011","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"11",,,,,,,,,,,"Congressional District 11 (114th Congress), Illinois",722840,530375,380751,78787,676,52523,97,1534,16007,766,15241,192465,94621,1510,1357,226,10,88469,6272,4206,2066,714965,31469,47304,27831,29667,41774,18621,518299,"Congressional District 11 (114th Congress), Illinois",3319,3641,3994,2507,162,1894,63,649,1509,363,1495,3166,3258,421,463,140,16,3630,862,669,554,3437,2126,3598,2456,2172,3015,1593,6606
"G17012","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"12",,,,,,,,,,,"Congressional District 12 (114th Congress), Illinois",706390,683861,541784,117386,1281,7961,109,645,14695,337,14358,22529,16404,951,222,148,0,3409,1395,881,514,685506,60338,65769,33746,32383,42654,20359,430257,"Congressional District 12 (114th Congress), Illinois",191,562,1042,1018,211,489,66,235,970,165,943,511,894,329,124,162,26,557,336,266,189,939,2425,2436,1999,2229,2252,1403,3856
"G17013","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"13",,,,,,,,,,,"Congressional District 13 (114th Congress), Illinois",711498,688354,564252,79435,1045,25788,220,1269,16345,293,16052,23144,16562,817,78,84,12,3601,1990,985,1005,667770,69353,57120,28683,27992,41066,16963,426593,"Congressional District 13 (114th Congress), Illinois",1982,2233,2529,1631,234,644,138,383,1116,116,1125,960,1027,302,54,49,17,626,448,299,328,2686,2539,2329,1742,1505,1934,1207,4763
"G17014","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"14",,,,,,,,,,,"Congressional District 14 (114th Congress), Illinois",723419,638591,573377,21870,476,31208,202,509,10949,675,10274,84828,58851,840,656,139,53,20763,3526,1696,1830,717921,19361,27605,17316,19449,30127,12628,591435,"Congressional District 14 (114th Congress), Illinois",3053,3779,3720,1753,187,1821,128,257,1161,305,1125,2856,2970,473,454,104,60,2774,724,595,562,3025,2120,2449,1933,1955,2459,1454,5121
"G17015","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,"Congressional District 15 (114th Congress), Illinois",705952,687257,641535,30509,1087,3978,132,357,9659,173,9486,18695,13862,266,208,39,85,2585,1650,1057,593,676527,40802,57856,32267,34002,46797,21042,443761,"Congressional District 15 (114th Congress), Illinois",1122,1327,1989,1352,181,266,91,149,733,72,716,764,791,113,149,25,80,529,288,213,217,2164,1845,2183,1747,1934,1973,1432,4049
"G17016","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"16",,,,,,,,,,,"Congressional District 16 (114th Congress), Illinois",703553,642357,594655,26678,729,9737,149,588,9821,332,9489,61196,42703,824,285,62,34,14541,2747,1818,929,681302,39349,44061,28489,31963,41428,16795,479217,"Congressional District 16 (114th Congress), Illinois",1478,1554,1438,1411,195,794,94,220,725,123,710,1258,1823,294,235,55,32,1487,569,478,243,1836,2338,2371,1781,1950,2576,1440,4761
"G17017","2011-2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,,"17",,,,,,,,,,,"Congressional District 17 (114th Congress), Illinois",703051,640615,537085,78826,1074,9113,148,804,13565,268,13297,62436,39950,1273,553,100,36,15690,4834,2458,2376,679072,56303,64642,36099,37213,53095,19973,411747,"Congressional District 17 (114th Congress), Illinois",1925,1946,1526,1430,206,638,63,270,1021,143,979,1043,1740,311,304,85,33,1540,707,588,539,2255,2384,2253,1918,1931,2234,1603,3285
