GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021,ADNEM001,ADNEM002,ADNEM003,ADNEM004,ADNEM005,ADNEM006,ADNEM007,ADNEM008
"G50000","2011-2015",,,"Vermont","50",,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"Congressional District (at Large) (114th Congress), Vermont",626604,615913,586547,6722,1853,8690,193,656,11252,235,11017,10691,7896,227,165,84,56,1346,917,293,624,601732,29900,39333,25781,24724,39532,16094,426368,"Congressional District (at Large) (114th Congress), Vermont",0,0,181,371,210,310,74,195,555,96,528,0,374,71,91,69,52,277,208,98,183,332,1371,1591,1437,1157,1803,972,2961
"G51001","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (114th Congress), Virginia",757549,688526,508366,127731,2473,25624,555,926,22851,791,22060,69023,45118,3085,543,293,46,16518,3420,1639,1781,736926,24543,32384,21707,21594,37197,14856,584645,"Congressional District 1 (114th Congress), Virginia",2600,2607,2058,2076,368,1126,132,291,1420,331,1416,1944,2302,635,223,100,54,1480,575,426,411,2972,1875,2241,1970,2106,2203,1618,4410
"G51002","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (114th Congress), Virginia",736280,680853,456926,156302,2101,37790,967,1509,25258,550,24708,55427,35034,4484,729,754,35,9431,4960,1860,3100,701003,35020,36024,25307,28049,43476,16291,516836,"Congressional District 2 (114th Congress), Virginia",3064,3173,1908,2576,333,946,254,361,1669,221,1650,1108,1436,762,294,281,51,1047,783,396,614,2891,2090,2290,1909,2405,2445,1550,4431
"G51003","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (114th Congress), Virginia",741771,699642,240738,419594,2439,13403,556,2101,20811,423,20388,42129,22061,5397,945,193,14,9528,3991,1575,2416,713097,80197,81326,40468,41079,54561,19172,396294,"Congressional District 3 (114th Congress), Virginia",4322,4372,2517,3269,321,724,217,499,1722,144,1714,1384,1488,975,593,125,21,1139,641,375,496,4387,3435,3629,2424,2091,2812,1641,5027
"G51004","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (114th Congress), Virginia",743687,704067,434490,231824,1776,16308,433,1401,17835,486,17349,39620,24110,3126,262,208,34,9443,2437,1190,1247,711264,34759,44770,27893,23945,39931,17015,522951,"Congressional District 4 (114th Congress), Virginia",1641,1440,1413,1542,313,824,148,468,1253,209,1244,1117,1609,598,118,148,37,1057,520,304,404,2271,2429,2715,2212,2230,2587,1599,4807
"G51005","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (114th Congress), Virginia",731594,706525,532010,146709,934,11257,221,1114,14280,212,14068,25069,16087,545,106,74,5,6777,1475,857,618,700757,49760,57193,35040,33425,48363,22214,454762,"Congressional District 5 (114th Congress), Virginia",1373,1378,1475,1098,193,471,110,444,1063,65,1069,589,999,190,89,59,12,846,366,279,226,2352,2398,2888,2225,2076,2643,1742,4850
"G51006","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (114th Congress), Virginia",740643,705591,597226,78710,1096,13368,309,746,14136,551,13585,35052,24323,1434,357,75,15,6076,2772,1100,1672,704875,52145,56121,30511,33971,50099,21457,460571,"Congressional District 6 (114th Congress), Virginia",1097,1151,1263,1026,223,563,189,227,1052,296,981,409,1166,425,231,84,21,907,568,362,470,2512,2731,3058,1968,2238,2490,2008,4580
"G51007","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (114th Congress), Virginia",756666,714647,550538,107897,1742,34645,449,1680,17696,406,17290,42019,26444,2039,204,285,33,10133,2881,1561,1320,743687,24015,31412,21141,22853,33578,17081,593607,"Congressional District 7 (114th Congress), Virginia",3108,2743,2517,2227,354,1233,108,497,1469,218,1453,1439,1751,635,135,164,34,1154,635,466,427,3127,1809,2243,1772,2269,2382,1752,4291
"G51008","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"08",,,,,,,,,,,"Congressional District 8 (114th Congress), Virginia",772740,625387,405961,103468,1281,88131,375,2800,23371,1122,22249,147353,87841,2234,922,572,75,46456,9253,5265,3988,766567,27270,34244,23160,20705,33386,11149,616653,"Congressional District 8 (114th Congress), Virginia",3055,2742,2395,1848,304,2155,102,625,1596,504,1548,2276,3024,540,322,210,71,3052,1262,1010,764,3107,1930,2730,1964,1788,2474,1515,5127
"G51009","2011-2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,,"09",,,,,,,,,,,"Congressional District 9 (114th Congress), Virginia",721066,705430,646656,38795,837,9445,90,1207,8400,144,8256,15636,11143,580,60,29,0,2500,1324,745,579,689846,59964,71239,40633,39450,51430,21713,405417,"Congressional District 9 (114th Congress), Virginia",1183,1189,1184,923,218,471,69,511,803,88,792,465,860,252,42,39,28,520,331,242,186,1835,3010,2528,2379,2282,2269,1657,5244
